Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-19 05:00:00,1.302,1.287,1.205,1.213,1.217,1.324,1.334
2022-04-19 06:00:00,1.114,1.094,1.002,0.983,0.959,1.008,1.071
2022-04-19 07:00:00,2.156,2.125,2.051,2.011,1.969,2.116,2.218
2022-04-19 08:00:00,1.988,1.851,1.739,1.751,1.719,1.806,1.882
2022-04-19 09:00:00,3.588,3.091,2.843,2.747,2.665,2.654,2.684
2022-04-19 10:00:00,2.327,2.249,2.139,2.124,2.047,2.095,2.081
2022-04-19 12:00:00,4.015,2.754,2.338,2.156,2.063,2.096,2.131
2022-04-19 13:00:00,1.26,1.11,1.001,0.965,0.925,0.877,0.866
2022-04-19 14:00:00,0.488,0.472,0.475,0.464,0.467,0.464,0.472
2022-04-19 15:00:00,1.067,0.79,0.708,0.648,0.651,0.686,0.732
2022-04-19 16:00:00,1.186,0.869,0.739,0.696,0.664,0.613,0.597
2022-04-19 17:00:00,2.31,1.145,0.843,0.675,0.627,0.524,0.563
2022-04-19 18:00:00,4.669,1.808,1.045,0.763,0.58,0.483,0.495
2022-04-19 19:00:00,0.855,0.806,0.745,0.755,0.738,0.749,0.751
2022-04-19 20:00:00,0.656,0.616,0.572,0.529,0.481,0.458,0.403
2022-04-19 21:00:00,1.102,0.859,0.774,0.708,0.683,0.664,0.646
2022-04-19 22:00:00,3.548,1.932,1.435,1.189,1.069,1.001,0.996
2022-04-19 23:00:00,1.632,1.081,0.923,0.845,0.782,0.829,0.84
2022-04-20 00:00:00,1.567,1.02,0.906,0.863,0.807,0.768,0.762
2022-04-20 01:00:00,1.747,1.903,1.996,2.139,2.196,2.406,2.47
2022-04-20 02:00:00,2.068,2.189,2.199,2.369,2.447,2.817,2.863
2022-04-20 04:00:00,3.0,3.009,2.883,2.945,2.96,3.222,3.346
2022-04-20 05:00:00,2.129,2.072,1.958,2.003,2.005,2.223,2.284
2022-04-20 06:00:00,2.319,2.233,2.081,2.117,2.153,2.314,2.35
2022-04-20 07:00:00,2.178,1.806,1.606,1.596,1.546,1.589,1.633
2022-04-20 08:00:00,1.414,1.358,1.31,1.333,1.308,1.267,1.308
2022-04-20 09:00:00,2.169,1.704,1.509,1.485,1.405,1.344,1.317
2022-04-20 12:00:00,4.901,3.487,2.992,2.803,2.604,2.492,2.493
2022-04-20 13:00:00,2.34,1.894,1.687,1.604,1.504,1.427,1.381
2022-04-20 14:00:00,1.749,1.714,1.594,1.587,1.538,1.547,1.638
2022-04-20 15:00:00,2.1,2.123,2.044,2.036,2.043,2.146,2.206
2022-04-20 16:00:00,2.303,2.022,1.867,1.811,1.76,1.72,1.727
2022-04-20 17:00:00,1.691,1.667,1.578,1.535,1.485,1.478,1.479
2022-04-20 18:00:00,2.626,2.068,1.873,1.797,1.772,1.871,1.91
2022-04-20 19:00:00,1.361,1.359,1.356,1.31,1.311,1.302,1.292
2022-04-20 20:00:00,1.183,1.127,1.036,0.993,0.959,0.927,0.95
2022-04-20 21:00:00,1.476,1.289,1.196,1.188,1.159,1.248,1.307
2022-04-20 22:00:00,1.325,1.051,0.931,0.869,0.783,0.74,0.734
2022-04-20 23:00:00,1.205,1.071,0.975,0.928,0.901,0.942,0.959
2022-04-21 00:00:00,0.891,0.869,0.817,0.8,0.737,0.79,0.809
2022-04-21 01:00:00,1.072,1.049,1.023,0.932,0.926,0.959,0.937
2022-04-21 02:00:00,1.075,1.133,1.083,1.106,1.105,1.141,1.176
2022-04-21 03:00:00,0.928,0.894,0.86,0.817,0.78,0.727,0.727
2022-04-21 04:00:00,0.871,0.82,0.793,0.788,0.714,0.743,0.76
2022-04-21 05:00:00,0.993,0.922,0.889,0.893,0.879,0.926,0.95
2022-04-21 06:00:00,0.936,0.918,0.904,0.865,0.848,0.806,0.799
2022-04-21 07:00:00,0.746,0.638,0.569,0.52,0.492,0.465,0.422
